geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	meanRawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
ENSG00000000233	S29.tsv	1.86337479000097e-07	0.00171453790219854	-5.15	-5.27	4	229	4.57	219.63	6.21	TRUE	1	1	1
ENSG00000000036	S26.tsv	4.07347362993829e-07	0.00374810530313756	-5.07	-5.13	2	190.57	3.52	182.8	6.72	TRUE	1	1	1
ENSG00000000649	S02.tsv	5.62704764631371e-07	0.00517758773965001	-5.06	-5.56	2	163.97	2.27	159.41	5.59	TRUE	1	1	1
ENSG00000000898	S19.tsv	5.85639953488791e-07	0.00538862016748546	-5.03	-4.86	2	137.97	3.04	131.1	7.25	TRUE	1	1	1
ENSG00000000766	S28.tsv	7.48524795166659e-07	0.00688736446867979	-5.07	-5.68	2	163.97	2.05	157.13	5.24	TRUE	1	1	1
ENSG00000000574	S14.tsv	7.75481974037041e-07	0.00713540423586797	-4.94	-4.11	2	119.03	4.46	112.99	10.73	TRUE	1	1	1
ENSG00000000784	S09.tsv	7.81874739581829e-07	0.00719422567579097	-5	-4.46	3	145.27	4.75	137.65	7.87	TRUE	1	1	1
ENSG00000000949	S05.tsv	8.50829478887125e-07	0.00782869553504611	-4.98	-4.7	1	139.7	2.61	133.14	8.74	TRUE	1	1	1
ENSG00000000351	S08.tsv	9.26267168843131e-07	0.00852281665001411	-4.99	-4.56	2	118.13	3.24	113.11	7.99	TRUE	1	1	1
ENSG00000001042	S25.tsv	1.07533543475782e-06	0.00989443117059917	-5.01	-4.96	2	124.13	2.61	120.9	6.55	TRUE	1	1	1
ENSG00000000605	S20.tsv	1.14822238060019e-06	0.0105650822489159	-4.95	-4.7	1	119.67	2.2	111.67	8.45	TRUE	1	1	1
ENSG00000000429	S22.tsv	1.2202117292142e-06	0.0112274743098992	-5	-5.15	2	177.07	3.21	169.15	6.01	TRUE	1	1	1
ENSG00000000631	S01.tsv	1.3507912887105e-06	0.0124289696033322	-5.03	-5.38	5	275.27	5.36	265.99	5.01	TRUE	1	1	1
ENSG00000000868	S04.tsv	1.37040343960868e-06	0.0126094259250502	-5	-4.81	5	300.13	8.67	290.5	6	TRUE	1	1	1
ENSG00000000069	S23.tsv	1.38419281982198e-06	0.0127363054725809	-4.94	-4.61	3	160.33	4.81	154.86	6.95	TRUE	1	1	1
ENSG00000000046	S13.tsv	1.40940733840399e-06	0.0129683105851676	-4.99	-5.28	2	175.5	2.93	169.45	5.64	TRUE	1	1	1
ENSG00000000149	S10.tsv	1.54493693073171e-06	0.0142153523728011	-4.99	-4.62	7	278.67	9.49	265.62	6.13	TRUE	1	1	1
ENSG00000000795	S07.tsv	1.5519648845998e-06	0.0142800183398755	-5.01	-5.52	2	129.63	1.84	125.37	5.16	TRUE	1	1	1
ENSG00000000828	S03.tsv	1.57054599275044e-06	0.0144509877785524	-4.98	-5.07	2	149.2	2.83	141.44	6.04	TRUE	1	1	1
ENSG00000000480	S11.tsv	1.60400551187564e-06	0.0147588572100663	-4.99	-5.21	2	121.17	2.11	116.29	5.72	TRUE	1	1	1
ENSG00000001096	S30.tsv	1.67238512157338e-06	0.0153880351574842	-4.95	-4.81	2	143.63	3.27	135.73	6.69	TRUE	1	1	1
ENSG00000000279	S24.tsv	1.86454832819804e-06	0.0171561770414142	-4.98	-4.65	11	778.93	26.46	721.34	5.77	TRUE	1	1	1
ENSG00000001106	S15.tsv	2.44820215969804e-06	0.0225265224021005	-4.97	-5.37	2	128.73	2.05	126.22	5.2	TRUE	1	1	1
ENSG00000000676	S16.tsv	4.69546771894442e-06	0.043204176722149	-4.92	-5.4	2	123.3	1.92	121.45	4.81	TRUE	1	1	1
ENSG00000000361	S27.tsv	4.87422822960363e-06	0.0448489970373441	-4.86	-4.62	4	180.23	5.73	174.06	5.86	TRUE	1	1	1
ENSG00000000194	S21.tsv	9.02904126574074e-06	0.0830784743557635	-4.75	-4.21	3	152.2	6.09	148.11	6.85	FALSE	0	0	1
ENSG00000000180	S16.tsv	1.87741532711585e-05	0.0863728476359531	3.6	2.54	2970	307.4	1543.22	264.42	2.77	FALSE	1	0	2
ENSG00000000365	S06.tsv	9.77049910643818e-06	0.0899008140030514	-4.81	-4.6	3	180.33	5.32	170.91	5.67	FALSE	0	0	1
ENSG00000000498	S17.tsv	1.70495428695706e-05	0.156877122208047	-4.69	-3.74	2	136.97	6.57	127.93	9.32	FALSE	0	0	1
ENSG00000000038	S12.tsv	1.99802033329641e-05	0.183842864526372	-4.78	-4.75	3	122.93	3.4	121.14	4.94	FALSE	0	0	1
ENSG00000001107	S18.tsv	3.44820881707639e-05	0.31727834589678	-4.59	-3.95	2	152.53	6.44	145.66	7.24	FALSE	0	0	1
ENSG00000000556	S29.tsv	7.65589777584809e-05	0.352219182702429	3.17	2.44	1890	187.3	899.27	165.06	2.61	FALSE	1	0	2
ENSG00000001089	S19.tsv	0.000111635215994066	0.513591817569474	-4.26	-1.24	16	57.07	22.41	54.97	267.1	FALSE	1	0	2
ENSG00000001047	S02.tsv	0.000114092957362104	0.524898965095336	3.18	2.47	2826	223.8	975.17	175.68	2.39	FALSE	1	0	2
ENSG00000000944	S19.tsv	0.000173048542983077	0.530754355765013	3.03	2.17	3924	441.63	1757.33	391.27	3.26	FALSE	1	0	3
ENSG00000000488	S08.tsv	0.000117839254480419	0.542134275019876	3.14	2.38	1746	203	994.5	191.05	2.66	FALSE	1	0	2
ENSG00000000703	S11.tsv	0.000162025990291338	0.745420897037053	3.11	2.51	12618	876.1	3685.14	644.87	2.16	FALSE	1	0	2
ENSG00000000936	S07.tsv	0.000170895506042031	0.786226217067983	3.05	2.24	8082	657.03	2380.39	504.23	2.98	FALSE	1	0	2
ENSG00000000724	S25.tsv	0.00021113388860587	0.97134794458913	3.09	2.35	6570	468.87	1708.67	336.26	2.53	FALSE	1	0	2
ENSG00000000001	S01.tsv	0.812864840672325	1	-0.19	-0.1	76	57.03	51.59	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S02.tsv	0.0788348393783559	1	-1.84	-0.66	38	57.03	34.73	55.37	28.94	FALSE	1	0	601.5
ENSG00000000001	S03.tsv	0.812393021327586	1	-0.22	-0.11	49	57.03	51.15	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S04.tsv	0.998066252659126	1	0.02	-0.03	53	57.03	54.11	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S05.tsv	0.727957609317424	1	-0.36	-0.16	37	57.03	49.4	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S06.tsv	0.746079752536782	1	0.38	0.09	79	57.03	59.06	55.37	28.94	FALSE	0	0	601
ENSG00000000001	S07.tsv	0.746922574040084	1	0.39	0.09	68	57.03	59.18	55.37	28.94	FALSE	1	0	601.5
ENSG00000000001	S08.tsv	0.635741184528843	1	-0.51	-0.21	33	57.03	47.64	55.37	28.94	FALSE	1	0	601.5
ENSG00000000001	S09.tsv	0.267992431718919	1	1.08	0.32	83	57.03	69.68	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S10.tsv	0.200368064294308	1	-1.23	-0.46	57	57.03	40.23	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S11.tsv	0.527416501338955	1	-0.6	-0.24	52	57.03	46.7	55.37	28.94	FALSE	1	0	601.5
ENSG00000000001	S12.tsv	0.795037728878586	1	-0.21	-0.11	74	57.03	51.31	55.37	28.94	FALSE	0	0	601
ENSG00000000001	S13.tsv	0.0662114418276763	1	-2.01	-0.72	31	57.03	33.3	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S14.tsv	1	1	0.01	-0.04	42	57.03	54.04	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S15.tsv	0.499475757130406	1	0.7	0.2	83	57.03	63.62	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S16.tsv	0.74612786173961	1	-0.29	-0.14	55	57.03	50.27	55.37	28.94	FALSE	1	0	601.5
ENSG00000000001	S17.tsv	0.911502215871062	1	-0.11	-0.08	42	57.03	52.54	55.37	28.94	FALSE	0	0	601
ENSG00000000001	S18.tsv	0.594656016663018	1	-0.54	-0.22	40	57.03	47.34	55.37	28.94	FALSE	0	0	601
ENSG00000000001	S19.tsv	0.260930021655213	1	1.18	0.36	52	57.03	71.48	55.37	28.94	FALSE	1	0	602
ENSG00000000001	S20.tsv	1	1	0.01	-0.04	45	57.03	54.04	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S21.tsv	0.496374119522572	1	0.7	0.2	81	57.03	63.72	55.37	28.94	FALSE	0	0	601
ENSG00000000001	S22.tsv	0.50226696619192	1	-0.71	-0.28	35	57.03	45.44	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S23.tsv	0.0428939600183378	1	1.9	0.6	77	57.03	84.65	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S24.tsv	0.141310031120538	1	-1.67	-0.61	26	57.03	35.99	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S25.tsv	0.0510661656416043	1	1.82	0.58	80	57.03	83.15	55.37	28.94	FALSE	1	0	601.5
ENSG00000000001	S26.tsv	0.329415284226679	1	1.02	0.3	58	57.03	68.73	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S27.tsv	0.668259678999576	1	0.5	0.13	58	57.03	60.78	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S28.tsv	0.287339196095838	1	1.02	0.3	97	57.03	68.68	55.37	28.94	FALSE	1	0	601
ENSG00000000001	S29.tsv	0.240333193113006	1	-1.2	-0.45	41	57.03	40.46	55.37	28.94	FALSE	1	0	601.5
ENSG00000000001	S30.tsv	0.337651223440139	1	0.97	0.29	69	57.03	67.98	55.37	28.94	FALSE	1	0	601
ENSG00000000002	S01.tsv	0.71570548702757	1	-0.82	-0.67	1	1.63	0.6	1.27	1000	FALSE	1	0	601
ENSG00000000002	S02.tsv	0.14707121037468	1	1.7	0.97	4	1.63	3.36	1.27	1000	FALSE	1	0	601.5
ENSG00000000002	S03.tsv	0.830638062067788	1	0.61	0.26	3	1.63	1.68	1.27	1000	FALSE	1	0	601
ENSG00000000002	S04.tsv	0.913769877039871	1	0.58	0.24	2	1.63	1.7	1.27	1000	FALSE	1	0	601
ENSG00000000002	S05.tsv	1	1	-0.49	-0.46	0	1.63	0	1.27	1000	FALSE	1	0	601
ENSG00000000002	S06.tsv	1	1	0.31	0.07	6	1.63	1.38	1.27	1000	FALSE	0	0	601
ENSG00000000002	S07.tsv	0.281742685853681	1	1.53	0.86	2	1.63	3.99	1.27	1000	FALSE	1	0	601.5
ENSG00000000002	S08.tsv	0.725324676345503	1	-1.35	-1.01	0	1.63	0	1.27	1000	FALSE	1	0	601.5
ENSG00000000002	S09.tsv	1	1	0.39	0.11	3	1.63	1.46	1.27	1000	FALSE	1	0	601
ENSG00000000002	S10.tsv	0.770296646890993	1	-1.28	-0.97	0	1.63	0	1.27	1000	FALSE	1	0	601
ENSG00000000002	S11.tsv	0.537586546792133	1	-1.65	-1.21	0	1.63	0	1.27	1000	FALSE	1	0	601.5
ENSG00000000002	S12.tsv	1	1	0.29	0.05	5	1.63	1.37	1.27	1000	FALSE	0	0	601
ENSG00000000002	S13.tsv	0.642053393819904	1	0.95	0.48	2	1.63	2.27	1.27	1000	FALSE	1	0	601
ENSG00000000002	S14.tsv	0.338888547843975	1	1.34	0.73	3	1.63	2.78	1.27	1000	FALSE	1	0	601
ENSG00000000002	S15.tsv	1	1	-0.33	-0.35	0	1.63	0	1.27	1000	FALSE	1	0	601
ENSG00000000002	S16.tsv	1	1	-0.4	-0.4	1	1.63	0.8	1.27	1000	FALSE	1	0	601.5
ENSG00000000002	S17.tsv	0.836816070729237	1	0.68	0.3	2	1.63	1.83	1.27	1000	FALSE	0	0	601
ENSG00000000002	S18.tsv	1	1	-0.09	-0.2	1	1.63	1.01	1.27	1000	FALSE	0	0	601
ENSG00000000002	S19.tsv	1	1	-0.63	-0.55	0	1.63	0	1.27	1000	FALSE	1	0	602
ENSG00000000002	S20.tsv	1	1	-0.09	-0.2	3	1.63	1.09	1.27	1000	FALSE	1	0	601
ENSG00000000002	S21.tsv	0.195887028788321	1	1.72	0.98	2	1.63	4.99	1.27	1000	FALSE	0	0	601
ENSG00000000002	S22.tsv	0.579570676439181	1	-1.58	-1.16	0	1.63	0	1.27	1000	FALSE	1	0	601
ENSG00000000002	S23.tsv	0.725963752578596	1	-0.58	-0.51	2	1.63	0.8	1.27	1000	FALSE	1	0	601
ENSG00000000002	S24.tsv	1	1	-0.59	-0.52	0	1.63	0	1.27	1000	FALSE	1	0	601
ENSG00000000002	S25.tsv	0.312043521618881	1	1.39	0.76	3	1.63	2.9	1.27	1000	FALSE	1	0	601.5
ENSG00000000002	S26.tsv	1	1	-0.08	-0.19	1	1.63	1.02	1.27	1000	FALSE	1	0	601
ENSG00000000002	S27.tsv	1	1	0.39	0.11	1	1.63	1.54	1.27	1000	FALSE	1	0	601
ENSG00000000002	S28.tsv	0.573262747783991	1	-1.59	-1.17	0	1.63	0	1.27	1000	FALSE	1	0	601
ENSG00000000002	S29.tsv	0.958279391156252	1	0.52	0.2	2	1.63	1.62	1.27	1000	FALSE	1	0	601.5
ENSG00000000002	S30.tsv	1	1	-0.85	-0.69	0	1.63	0	1.27	1000	FALSE	1	0	601
ENSG00000000003	S01.tsv	0.354515088120314	1	-1.14	-0.58	6	10.57	6.45	10	161.51	FALSE	1	0	601
ENSG00000000003	S02.tsv	0.563401455267579	1	-0.77	-0.41	6	10.57	7.31	10	161.51	FALSE	1	0	601.5
