#IID	PC1	PC2	PC3	PC4	PC5
REF_EUR_00	6.2133	-0.728	0.5253	0.6584	-1.3657
REF_EUR_01	5.0885	0.0895	-0.2214	-0.0118	-0.5971
REF_EUR_02	6.6156	0.5445	0.0462	0.7891	0.3273
REF_EUR_03	5.3985	0.2581	-0.6712	0.6149	-0.0349
REF_EUR_04	5.8706	-0.4767	0.8558	-0.1082	-0.2998
REF_EUR_05	5.7535	0.3726	0.2558	0.2889	0.3016
REF_EUR_06	7.4992	-0.2845	-0.3586	-0.5696	0.4312
REF_EUR_07	6.7903	-0.0798	-0.5881	-0.5771	0.4554
REF_AFR_00	-5.4797	0.3802	-0.4659	0.1625	0.0817
REF_AFR_01	-5.8469	0.61	0.1565	0.4752	0.0473
REF_AFR_02	-5.7976	0.4419	-1.02	-0.2238	-0.3293
REF_AFR_03	-6.4472	-0.1926	1.0465	-0.6061	0.6778
REF_AFR_04	-7.178	-0.2344	0.1139	0.4104	0.4979
REF_AFR_05	-5.4447	-0.2441	-0.3236	0.6006	-0.1339
REF_AFR_06	-6.893	-0.7933	-0.6436	0.348	0.0997
REF_AFR_07	-5.5167	-0.2991	0.111	0.4379	-0.2165
REF_EAS_00	0.3197	5.5367	-0.2541	-0.2672	-0.8371
REF_EAS_01	0.3409	5.6714	0.0087	0.3365	0.3126
REF_EAS_02	0.4658	5.9311	-0.2963	-0.0558	-1.1811
REF_EAS_03	-1.013	5.0741	-0.6981	0.2798	-0.6338
REF_EAS_04	-0.2647	6.9095	-0.2494	0.5163	-0.6535
REF_EAS_05	-0.1438	5.335	-0.2373	0.5882	-1.2091
REF_EAS_06	0.3041	6.1664	-0.4159	-1.0122	0.0505
REF_EAS_07	-0.3706	6.1629	0.0153	1.1212	-0.1675
REF_SAS_00	-0.7164	-5.8745	0.154	0.9514	0.5846
REF_SAS_01	0.2498	-4.9757	-0.8321	-0.4478	-0.6486
REF_SAS_02	-0.2729	-6.9637	0.4446	-0.1556	-1.0296
REF_SAS_03	-0.7109	-5.7805	0.5867	1.3977	2.0397
REF_SAS_04	0.2901	-6.6927	-1.4924	0.1874	-0.5691
REF_SAS_05	-0.2908	-6.4285	-0.0986	0.7462	0.1099
REF_SAS_06	-0.111	-6.725	-1.1723	-0.3404	-0.0376
REF_SAS_07	1.2376	-5.9088	0.6879	-0.3495	-0.8295
REF_AMR_00	-0.6756	-0.5077	7.4899	-0.575	0.5869
REF_AMR_01	-0.632	0.6521	6.2695	-0.1096	-0.0285
REF_AMR_02	-0.4584	0.3123	5.6815	-0.8579	-0.8946
REF_AMR_03	0.1208	1.1054	6.112	-0.083	0.2001
REF_AMR_04	0.9142	0.1536	5.7124	0.7744	0.3001
REF_AMR_05	1.075	0.1283	5.1429	-0.9577	1.1556
REF_AMR_06	1.2066	-0.1257	5.7318	1.023	-0.7749
REF_AMR_07	-0.6263	0.4503	5.7238	-0.0036	-0.1144
QRY_001	-5.7637	0.9852	0.0634	0.4508	-1.4351
QRY_002	5.9659	-0.5903	-0.8532	-0.6147	-0.2339
QRY_003	0.6411	5.0715	0.0214	-0.3389	-0.2294
QRY_004	0.7019	-5.6233	0.9362	-0.1082	-0.4872
