COVERAGE SUMMARY,,Aligned bases,155061371344
COVERAGE SUMMARY,,Aligned bases in genome,155061371344,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,51.29
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,93.96
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.4*mean) over genome,92.19
COVERAGE SUMMARY,,PCT of genome with coverage [1500x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [1000x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x: inf),0.02
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: inf),0.22
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: inf),63.91
COVERAGE SUMMARY,,PCT of genome with coverage [  20x: inf),92.49
COVERAGE SUMMARY,,PCT of genome with coverage [  15x: inf),93.50
COVERAGE SUMMARY,,PCT of genome with coverage [  10x: inf),94.05
COVERAGE SUMMARY,,PCT of genome with coverage [   3x: inf),94.73
COVERAGE SUMMARY,,PCT of genome with coverage [   1x: inf),95.20
COVERAGE SUMMARY,,PCT of genome with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x:1500x),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x:1000x),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: 500x),0.20
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: 100x),63.69
COVERAGE SUMMARY,,PCT of genome with coverage [  20x:  50x),28.58
COVERAGE SUMMARY,,PCT of genome with coverage [  15x:  20x),1.01
COVERAGE SUMMARY,,PCT of genome with coverage [  10x:  15x),0.55
COVERAGE SUMMARY,,PCT of genome with coverage [   3x:  10x),0.68
COVERAGE SUMMARY,,PCT of genome with coverage [   1x:   3x),0.47
COVERAGE SUMMARY,,PCT of genome with coverage [   0x:   1x),4.80
COVERAGE SUMMARY,,Average chr X coverage over genome,26.75
COVERAGE SUMMARY,,Average chr Y coverage over genome,23.32
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,26794.21
COVERAGE SUMMARY,,Average autosomal coverage over genome,54.32
COVERAGE SUMMARY,,Median autosomal coverage over genome,57.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.95
COVERAGE SUMMARY,,Aligned reads,1053679228
COVERAGE SUMMARY,,Aligned reads in genome,1053679228,100.00
